                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.41838,                0.44712,                0.39731,                 1.0573,                0.99601,                0.98734,                0.99488,                0.91192,                0.99601,                0.98734,                0.99488,                0.93432,                0.44194,                0.29833,                0.37083,                0.90679,                0.00171,                0.00171,                0.00171
                     53,                0.37239,                0.33801,                0.37661,                 1.0289,                0.97515,                      1,                  0.995,                0.91896,                0.97515,                      1,                  0.995,                0.92561,                0.44869,                0.31259,                0.36172,                0.95978,               0.001699,               0.001699,               0.001699
                     54,                 0.3955,                0.38594,                0.39386,                 1.0555,                0.96341,                      1,                0.99438,                0.92694,                0.96341,                      1,                0.99438,                0.93882,                0.41198,                0.27709,                 0.3469,                0.89805,              0.0016877,              0.0016877,              0.0016877
                     55,                0.42503,                0.41971,                0.41852,                 1.0194,                0.99763,                0.98734,                 0.9928,                 0.9459,                0.99763,                0.98734,                 0.9928,                 0.9435,                0.40407,                0.27755,                0.32017,                0.89051,              0.0016763,              0.0016763,              0.0016763
                     56,                0.43157,                0.41321,                0.39195,                 1.0581,                      1,                0.98734,                 0.9929,                0.94259,                      1,                0.98734,                 0.9929,                0.93805,                0.46858,                0.30216,                0.31047,                0.97676,              0.0016647,              0.0016647,              0.0016647
                     57,                0.45654,                0.35698,                0.44079,                 1.0923,                      1,                0.98734,                 0.9929,                0.93364,                      1,                0.98734,                 0.9929,                0.94348,                0.47978,                0.28371,                0.31547,                 0.9719,               0.001653,               0.001653,               0.001653
                     58,                0.37677,                 0.3128,                0.35563,                 1.0345,                0.99735,                      1,                  0.995,                0.94526,                0.99735,                      1,                  0.995,                0.94014,                 0.4684,                 0.2969,                 0.3056,                0.94968,               0.001641,               0.001641,               0.001641
                     59,                 0.3721,                0.41056,                 0.3547,                 1.0315,                 0.9967,                0.98734,                0.99488,                0.93333,                 0.9967,                0.98734,                0.99488,                0.94573,                0.45884,                0.30162,                0.35013,                0.96743,               0.001629,               0.001629,               0.001629
                     60,                0.40711,                0.39805,                0.38138,                  1.043,                0.97747,                0.96203,                 0.9802,                0.91029,                0.97747,                0.96203,                 0.9802,                0.92096,                0.44476,                0.29139,                 0.3852,                0.93904,              0.0016168,              0.0016168,              0.0016168
                     61,                0.38643,                 0.3197,                0.38944,                 1.0487,                 0.9875,                      1,                0.99475,                0.94886,                 0.9875,                      1,                0.99475,                 0.9525,                0.45348,                0.28138,                0.34088,                0.93208,              0.0016044,              0.0016044,              0.0016044
                     62,                0.38473,                0.35617,                0.40284,                 1.0308,                      1,                      1,                  0.995,                0.94069,                      1,                      1,                  0.995,                0.94533,                0.42138,                0.29335,                0.31774,                0.88919,              0.0015919,              0.0015919,              0.0015919
                     63,                0.39404,                0.32483,                0.40527,                 1.0527,                 0.9676,                      1,                0.99425,                0.93254,                 0.9676,                      1,                0.99425,                0.94159,                0.42466,                0.32788,                0.35776,                0.89577,              0.0015793,              0.0015793,              0.0015793
